"package",'version",'option",'platform",'dependency",'package_provider",'compiled_with",'composite",'section",'spack_matches",'spack_match_100"
"grace","{'5.1.25'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('grace', 100), ('ace', 90), ('c', 90), ('r', 90)",grace
"graphicsmagick","{'1.3.21'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('graphicsmagick', 100), ('ck', 90), ('giraph', 75), ('igraph', 75)",graphicsmagick
"graphviz","{'2.40.1', '2.38.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('graphviz', 100), ('py-graphviz', 95), ('py-pygraphviz', 90), ('r', 90)",graphviz
"groff","{'1.22.3'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('groff', 100), ('r', 90), ('igprof', 73), ('rocfft', 73)",groff
"gromacs","{'2021.3', '2018', '2016.3', '5.1.1', '5.1.3', '2018.2', '5.0.4', '2018.3', '2019.3', '2016.4'}","{'plumed'}",NONE,NONE,NONE,"{'intel-2018', 'gnu-10.2.0', 'intel-2017-update1', 'intel-2017', 'cuda-10', 'intel-2015-update2'}",NONE,"applications","('gromacs', 100), ('c', 90), ('gromacs-chain-coordinate', 90), ('gromacs-swaxs', 90)",gromacs
"gulp","{'4.5', '5.1.1'}",NONE,NONE,"{'libgulp'}",NONE,"{'intel-2018'}",NONE,"libraries","('glpk', 75), ('glproto', 68), ('gnuplot', 68), ('libcumlprims', 68)",NONE
"gurobi","{'7.5.1', '8.1.1', '9.1.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('gurobi', 100), ('r', 90), ('bmi', 72), ('grabix', 67)",gurobi
"h5utils","{'1.12.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('h5utils', 100), ('heputils', 80), ('py-backports-shutil-get-terminal-size', 74), ('lsf', 72)",h5utils
"hammock","{'1.0.5'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('ck', 90), ('dock', 68), ('hama', 68)",NONE
"hhsuite","{'3.0-beta.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('hh-suite', 93), ('pbsuite', 71), ('luit', 68), ('vite', 68)",NONE
"hmmer","{'3.1b2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('hmmer', 100), ('er', 90), ('perl-bio-searchio-hmmer', 90), ('r', 90)",hmmer
"hmri","{'spm12.jan2020', '0.4.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('r', 90), ('amrfinder', 68), ('amrvis', 68), ('benchmark', 68)",NONE
"hoomd-blue","{'2.4.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('hoomd-blue', 100), ('comd', 68), ('lmdb', 68), ('aom', 60)",hoomd-blue
"hopspack","{'2.0.2'}",NONE,NONE,NONE,NONE,"{'intel-2017', 'gnu-4.9.2'}",NONE,"applications","('ack', 90), ('c', 90), ('ck', 90), ('sp', 90)",NONE
"icommands","{'4.1.7'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('ds', 90), ('ico', 90), ('py-azure-cli-command-modules-nspkg', 80), ('cohmm', 72)",NONE
"idl","{'8.4.1', '8.8.3', '8.7.3'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('idl', 100), ('gridlab-d', 90), ('libidl', 90), ('acpid', 72)",idl
"illustrate","{'20190807'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('ratel', 80), ('lustre', 75), ('strace', 75), ('astra', 72)",NONE
"impute2","{'2.3.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('impute2', 100), ('imp', 90), ('fimpute', 86), ('iproute2', 80)",impute2
"inetutils","{'1.9.4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('tut', 90), ('binutils', 82), ('coinutils', 78), ('findutils', 78)",NONE
"intltool","{'0.51.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('intltool', 100), ('ntl', 90), ('itstool', 80), ('qtltools', 75)",intltool
"iva","{'1.0.0', '0.11.6'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('efivar', 90), ('py-azure-mgmt-privatedns', 90), ('r-survival', 90), ('camellia', 72)",NONE
"jags","{'4.2.0', '3.4.0'}",NONE,NONE,"{'openblas', 'atlas'}",NONE,"{'gnu.4.9.2'}","{'gnu.4.9.2-atlas', 'gnu.4.9.2-openblas'}","applications","('jags', 100), ('r-rjags', 90), ('r-runjags', 90), ('args', 75)",jags
"jq","{'1.6', '1.5'}","{'bindist'}",NONE,NONE,NONE,"{'gnu-4.9.2'}","{'1.6-bindist'}","applications","('jq', 100), ('r-jquerylib', 90), ('neo4j', 60), ('proj', 60)",jq
"kallisto","{'v0.42.5', 'v0.46.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('kallisto', 100), ('lis', 90), ('istio', 80), ('stow', 77)",kallisto
"keras","{'2.2.4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('er', 90), ('py-keras', 90), ('py-keras-applications', 90), ('py-keras-preprocessing', 90)",NONE
"kmc","{'2.1.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('c', 90), ('mc', 90), ('mcl', 67), ('mpc', 67)",NONE
"knitro","{'12.4.0', '12.0.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('r', 90), ('r-knitr', 77), ('kineto', 67), ('libmonitor', 66)",NONE
"lammps","{'13Apr17', '8Dec15', '10Feb15', '3Mar20', '7Aug19', '16Mar18'}","{'basic', 'plumed', 'colvars'}","{'gpu'}",NONE,NONE,"{'intel-2018', 'intel-2017', 'intel-2015-update2', 'userintel'}","{'plumed-colvars'}","applications","('lammps', 100), ('mumps', 73), ('psm', 72), ('ampl', 68)",lammps
"lynx","{'2.8.9'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('lynx', 100), ('r-polynom', 68), ('rkt-dynext-lib', 68), ('ntpoly', 60)",lynx
"mathematica","{'10.1.0', '10.2.0', '13.1.0', '11.3.0', '11.0.1', '11.2.0', '10.4.0', '12.2.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mathematica', 100), ('athena', 75), ('matio', 72), ('atmi', 68)",mathematica
"matlab","{'9.4', '8.6', 'r2021a', '9.10', 'r2017a', '9.7', 'r2015b', 'r2018b', '9.5', '8.5', 'r2018a', 'r2019b', '9.1', 'r2015a', 'r2016b', '9.2'}","{'full'}",NONE,NONE,NONE,NONE,NONE,"applications","('matlab', 100), ('r-matlab', 95), ('bigdft-atlab', 75), ('atlas', 73)",matlab
"mcl","{'14-137'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mcl', 100), ('c', 90), ('mc', 90), ('orthomcl', 90)",mcl
"meep","{'1.11.0', '1.3'}",NONE,NONE,"{'ompi'}",NONE,"{'gnu-4.9.2'}","{'1.3-ompi', '1.11.0-ompi'}","applications","('meep', 100), ('py-python-meep', 90), ('meme', 75), ('chameleon', 68)",meep
"meme","{'4.10.1_4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('meme', 100), ('nvshmem', 77), ('py-cymem', 77), ('meep', 75)",meme
"mgltools","{'1.5.6'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mg', 90), ('py-onnxmltools', 84), ('bamtools', 75), ('igvtools', 75)",NONE
"mirdeep","{'2.0.0.7'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mirdeep2', 93), ('r', 90), ('irep', 73), ('meep', 73)",NONE
"molden","{'5.2.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('molden', 100), ('modern-wheel', 75), ('turbomole', 72), ('guacamole-client', 68)",molden
"molpro","{'2012.1.25', '2015.1.5', '2015.1.3', '2020.1'}","{'openmp'}",NONE,NONE,NONE,"{'intel-2015-update2', 'gnu-4.9.2'}",NONE,"applications","('r', 90), ('proj', 77), ('jmol', 68), ('solr', 68)",NONE
